Timestamp,Enclosure Pressure,Hepa Blockage,Running Mode
15:48:01,1738.0,-0.0,25
15:48:02,1740.0,-0.0,25
15:48:03,1738.0,-0.0,25
15:48:04,1738.0,-0.0,25
15:48:05,1738.0,-0.0,25
15:48:05,1738.0,-0.0,25
15:48:06,1740.0,-0.0,25
15:48:07,1738.0,-0.0,25
15:48:08,1740.0,-0.0,25
15:48:09,1740.0,-0.0,25
15:48:10,1738.0,-0.0,25
15:48:10,1738.0,-0.0,25
15:48:11,1738.0,-0.0,25
15:48:12,1738.0,-0.0,25
15:48:13,1738.0,-0.0,25
15:48:14,1738.0,-0.0,25
15:48:14,1738.0,-0.0,25
15:48:15,1738.0,0.0,25
15:48:16,1736.0,-0.0,25
