Timestamp,Enclosure Pressure,Hepa Blockage,Running Mode
16:02:57,0,-0.0,76.5
16:02:58,0,-0.0,76.5
16:02:58,0,-0.0,76.5
16:02:59,0,-0.0,76.5
16:03:00,0,-0.0,76.5
16:03:01,0,-0.0,76.5
16:03:02,0,-0.0,76.5
16:03:02,0,-0.0,76.5
16:03:03,0,-0.0,76.5
16:03:04,0,0.0,76.5
16:03:05,0,-0.0,76.5
16:03:06,0,-0.0,76.5
16:03:07,0,-0.0,76.5
16:03:07,0,-0.0,76.5
16:03:08,0,-0.0,76.5
16:03:09,0,-0.0,76.5
16:03:10,0,-0.0,76.5
16:03:11,0,-0.0,76.5
16:03:11,0,-0.0,76.5
16:03:12,0,-0.0,76.5
16:03:13,0,-0.0,76.5
16:03:14,0,-0.0,76.5
16:03:15,0,-0.0,76.5
16:03:16,0,-0.0,76.5
16:03:16,0,0.0,76.5
16:03:17,0,-0.0,76.5
16:03:18,0,-0.0,76.5
16:03:19,0,0.0,76.5
16:03:20,0,-0.0,76.5
16:03:20,0,-0.0,76.5
16:03:21,0,-0.0,76.5
16:03:22,0,-0.0,76.5
16:03:23,0,-0.0,76.5
16:03:24,0,-0.0,76.5
16:03:25,0,-0.0,76.5
16:03:25,0,-0.0,76.5
16:03:26,0,-0.0,76.5
16:03:27,0,-0.0,76.5
16:03:28,0,-0.0,76.5
16:03:29,0,-0.0,76.5
16:03:29,0,-0.0,76.5
16:03:30,0,-0.0,76.5
16:03:31,0,-0.0,76.5
16:03:32,0,-0.0,76.5
16:03:33,0,0.0,76.5
16:03:34,0,-0.0,76.5
16:03:34,0,-0.0,76.5
16:03:35,0,-0.0,76.5
16:03:36,0,-0.0,76.5
16:03:37,0,-0.0,76.5
16:03:38,0,-0.0,76.5
