Timestamp,Enclosure Pressure,Hepa Blockage,Running Mode
11:46:46,330.2,25,1.4
11:46:47,330.2,25,1.4
11:46:47,330.2,25,1.4
11:46:47,333.1,25,1.4
11:46:48,333.1,25,1.4
11:46:48,330.2,25,1.4
11:46:48,330.2,25,1.4
11:46:49,330.2,25,1.4
11:46:49,330.2,25,1.4
11:46:49,336.0,25,1.4
11:46:50,330.2,25,1.4
11:46:50,333.1,25,1.4
11:46:50,336.0,25,1.4
11:46:51,333.1,25,1.4
11:46:51,336.0,25,1.3
11:46:51,327.2,25,1.3
11:46:52,333.1,25,1.3
11:46:52,333.1,25,1.3
11:46:52,333.1,25,1.3
11:46:53,330.2,25,1.3
11:46:53,333.1,25,1.3
11:46:53,330.2,25,1.3
11:46:54,333.1,25,1.4
11:46:54,330.2,25,1.4
11:46:54,330.2,25,1.4
11:46:54,333.1,25,1.4
11:46:55,327.2,25,1.4
11:46:55,324.3,25,1.3
11:46:55,336.0,25,1.4
11:46:56,339.0,25,1.4
11:46:56,330.2,25,1.4
11:46:56,327.2,25,1.4
11:46:57,330.2,25,1.4
11:46:57,330.2,25,1.4
11:46:57,330.2,25,1.4
11:46:58,336.0,25,1.4
11:46:58,330.2,25,1.4
11:46:58,333.1,25,1.4
11:46:59,330.2,25,1.4
11:46:59,327.2,25,1.3
11:46:59,327.2,25,1.3
11:47:00,327.2,25,1.3
11:47:00,324.3,25,1.3
11:47:00,324.3,25,1.3
11:47:01,321.3,25,1.3
11:47:01,312.5,25,1.3
11:47:01,303.7,25,1.3
11:47:02,291.9,25,1.3
11:47:02,271.3,25,1.3
11:47:02,262.5,25,1.3
11:47:02,238.9,25,1.2
11:47:03,224.2,25,1.2
11:47:03,176.9,25,1.1
11:47:03,144.4,25,1.0
11:47:04,120.7,25,0.9
11:47:04,97.1,25,0.7
11:47:04,97.1,25,0.5
11:47:05,97.1,25,0.3
11:47:05,97.1,25,0.1
11:47:05,97.1,25,0
11:47:06,97.1,25,0
11:47:06,97.1,25,0
11:47:06,97.1,25,0
11:47:07,97.1,25,0
11:47:07,97.1,25,0
11:47:07,97.1,25,0
11:47:08,97.1,25,0
11:47:08,97.1,25,0
11:47:08,97.1,25,0
11:47:08,97.1,25,0
11:47:09,97.1,25,0
11:47:09,97.1,25,0
11:47:09,97.1,25,0
11:47:10,97.1,25,0
11:47:10,97.1,25,0
11:47:10,97.1,25,0
11:47:11,97.1,25,0
11:47:11,97.1,25,0
11:47:11,97.1,25,0
11:47:12,97.1,25,0
11:47:12,97.1,25,0
11:47:12,97.1,25,0
11:47:13,97.1,25,0
11:47:13,97.1,25,0
11:47:13,97.1,25,0
11:47:14,97.1,25,0
11:47:14,97.1,25,0
11:47:14,97.1,25,0
11:47:14,97.1,25,0
11:47:15,97.1,25,0
11:47:15,97.1,25,0
11:47:15,97.1,25,0
11:47:16,97.1,25,0
11:47:16,97.1,25,0
11:47:16,97.1,25,0
11:47:17,97.1,25,0
11:47:17,97.1,25,0
11:47:17,97.1,25,0
11:47:18,97.1,25,0
11:47:18,97.1,25,0
11:47:18,97.1,25,0
11:47:19,97.1,25,0
11:47:19,97.1,25,0
11:47:19,97.1,25,0
11:47:20,97.1,25,0
11:47:20,97.1,25,0
11:47:20,97.1,25,0
11:47:20,97.1,25,0
11:47:21,97.1,25,0
11:47:21,97.1,25,0
11:47:21,97.1,25,0
11:47:22,97.1,25,0
